Memory Length,4000,
Trigger Level,-3.000E-02,
Source,CH1,
Probe,10X,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,2.000E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-07,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,5E-09,
Firmware,V1.23,
Time, 10:20:11,
Mode,Detail,
Waveform Data,
-1.000000E-005,1.6E-2,
-9.995000E-006,1.2E-2,
-9.990000E-006,1.6E-2,
-9.985000E-006,2.4E-2,
-9.980000E-006,-1.6E-2,
-9.975000E-006,2.2E-2,
-9.970000E-006,4E-3,
-9.965000E-006,-4E-3,
-9.960000E-006,-1.4E-2,
-9.955000E-006,2E-2,
-9.950000E-006,-2.2E-2,
-9.945000E-006,-1.8E-2,
-9.940000E-006,-6E-3,
-9.935000E-006,-8E-3,
-9.930000E-006,-3.6E-2,
-9.925000E-006,-4E-3,
-9.920000E-006,-8E-3,
-9.915000E-006,-2E-2,
-9.910000E-006,-2E-2,
-9.905000E-006,1.8E-2,
-9.900000E-006,-2.2E-2,
-9.895000E-006,-6E-3,
-9.890000E-006,-4E-3,
-9.885000E-006,1.4E-2,
-9.880000E-006,-2E-2,
-9.875000E-006,2.2E-2,
-9.870000E-006,4E-3,
-9.865000E-006,4E-3,
-9.860000E-006,2E-3,
-9.855000E-006,3.2E-2,
-9.850000E-006,-1E-2,
-9.845000E-006,4E-3,
-9.840000E-006,1.8E-2,
-9.835000E-006,1.4E-2,
-9.830000E-006,-1.8E-2,
-9.825000E-006,1.6E-2,
-9.820000E-006,-4E-3,
-9.815000E-006,-8E-3,
-9.810000E-006,-2E-2,
-9.805000E-006,1.2E-2,
-9.800000E-006,-3.8E-2,
-9.795000E-006,-1.4E-2,
-9.790000E-006,-1.8E-2,
-9.785000E-006,-1.4E-2,
-9.780000E-006,-4.8E-2,
-9.775000E-006,-6E-3,
-9.770000E-006,-3E-2,
-9.765000E-006,-3.4E-2,
-9.760000E-006,-2.2E-2,
-9.755000E-006,-4E-3,
-9.750000E-006,-3.6E-2,
-9.745000E-006,-2.8E-2,
-9.740000E-006,-4E-3,
-9.735000E-006,-1.8E-2,
-9.730000E-006,-2.8E-2,
-9.725000E-006,-4E-3,
-9.720000E-006,-1.4E-2,
-9.715000E-006,-2.4E-2,
-9.710000E-006,2E-3,
-9.705000E-006,1E-2,
-9.700000E-006,-2.6E-2,
-9.695000E-006,-1.2E-2,
-9.690000E-006,2E-2,
-9.685000E-006,-4E-3,
-9.680000E-006,-8E-3,
-9.675000E-006,8E-3,
-9.670000E-006,6E-3,
-9.665000E-006,-1.8E-2,
-9.660000E-006,2.2E-2,
-9.655000E-006,-4E-3,
-9.650000E-006,-1.4E-2,
-9.645000E-006,-2E-2,
-9.640000E-006,2E-2,
-9.635000E-006,-3.6E-2,
-9.630000E-006,-2.2E-2,
-9.625000E-006,-2.4E-2,
-9.620000E-006,-2E-2,
-9.615000E-006,-5.4E-2,
-9.610000E-006,-8E-3,
-9.605000E-006,-4E-2,
-9.600000E-006,-3.8E-2,
-9.595000E-006,-4.2E-2,
-9.590000E-006,0E+0,
-9.585000E-006,-5.4E-2,
-9.580000E-006,-2.2E-2,
-9.575000E-006,-2E-2,
-9.570000E-006,-1.2E-2,
-9.565000E-006,-3.6E-2,
-9.560000E-006,1.4E-2,
-9.555000E-006,-8E-3,
-9.550000E-006,-1.8E-2,
-9.545000E-006,4E-3,
-9.540000E-006,1.4E-2,
-9.535000E-006,-1E-2,
-9.530000E-006,-6E-3,
-9.525000E-006,2.4E-2,
-9.520000E-006,-1.4E-2,
-9.515000E-006,-6E-3,
-9.510000E-006,6E-3,
-9.505000E-006,6E-3,
-9.500000E-006,-3E-2,
-9.495000E-006,6E-3,
-9.490000E-006,-8E-3,
-9.485000E-006,-2.2E-2,
-9.480000E-006,-2.6E-2,
-9.475000E-006,2E-3,
-9.470000E-006,-3.8E-2,
